106學年度台中市國小電腦資源調查
----------------------------------------------------
(0)序號
(1)行政區
(2)校名
(3)學生數
(4)班級數
(5)可上網電腦數
(6)是否有Wifi環境(1:是,0:否)
----------------------------------------------------


1,大甲區,華龍國小,360,17,80,1
2,大甲區,文武國小,65,6,65,0
3,大甲區,日南國小,621,25,120,0
4,大甲區,西岐國小,190,11,60,1
5,大甲區,東陽國小,182,10,50,1
6,大甲區,文昌國小,1161,39,189,1
7,大甲區,德化國小,152,8,74,1
8,大甲國,順天國小,887,37,129,0
9,大安區,海墘國小,155,9,50,1
10,大安區,益民國小,1447,51,200,1
11,大安區,大甲國小,1388,52,160,1
12,大安區,大安國小,300,14,121,1
13,大肚區,大肚國小,1012,38,134,1
14,大肚區,大忠國小,213,13,96,1
15,大肚區,山陽國小,134,6,38,1
16,大肚區,永安國小,130,6,52,1
17,大肚區,永順國小,196,12,120,1
18,大肚區,瑞峰國小,487,22,102,1
19,大里區,健民國小,134,7,70,1
20,大里區,塗城國小,1862,68,196,1
21,大里區,崇光國小,1346,51,51,1
22,大里區,瑞城國小,1186,46,230,0
23,大里區,追分國小,627,26,110,0
24,大里區,大里國小,695,29,175,1
25,大里區,內新國小,550,26,20,1
26,大里區,永隆國小,1569,57,210,1
27,大里區,立新國小,1157,45,145,1
28,大雅區,大明國小,1516,55,289,1
29,大雅區,陽明國小,162,9,107,1
30,大雅區,六寶國小,547,22,120,1
31,大雅區,文雅國小,588,24,165,1
32,大雅區,三和國小,761,30,120,1
33,大雅區,大雅國小,1525,57,238,0
34,中區,汝鎏國小,90,6,35,1
35,太平區,東平國小,1265,47,172,1
36,太平區,車籠埔國小,411,19,48,1
37,太平區,坪林國小,441,27,95,1
38,太平區,黃竹國小,17,4,40,1
39,太平區,新平國小,1620,59,197,1
40,太平區,光復國小,619,30,85,1
41,太平區,中華國小,655,26,168,1
42,太平區,太平國小,1310,48,62,0
43,太平區,光隆國小,550,26,88,1
44,太平區,宜欣國小,800,31,31,0
45,太平區,東汴國小,60,6,35,1
46,太平區,長億國小,488,21,130,1
47,太平區,建平國小,481,22,140,1
48,太平區,新光國小,1010,35,102,0
49,文光國,頭汴國小,86,6,64,1
50,北屯區,仁美國小,1760,62,198,1
51,北屯區,大坑國小,146,10,39,1
52,北屯區,四維國小,670,27,120,1
53,北屯區,四張犁國小,624,25,125,1
54,北屯區,松竹國小,1065,48,200,0
55,北屯區,建功國小,1237,43,73,1
56,北屯區,僑孝國小,745,31,130,0
57,北屯區,仁愛國小,556,25,160,1
58,北屯區,文心國小,1580,55,185,1
59,北屯區,文昌國小,816,36,173,1
60,北屯區,北屯國小,1003,44,6,1
61,北屯區,東光國小,824,32,145,0
62,北屯區,軍功國小,1222,45,155,1
63,北屯區,逢甲國小,62,6,46,1
64,北屯區,陳平國小,797,30,120,1
65,北屯區,新興國小,527,24,100,1
66,北區,臺中教育大學附設實驗國小,838,30,160,1
67,北區,中華國小,812,32,120,1
68,北區,太平國小,357,18,107,1
69,北區,立人國小,859,33,156,1
70,北區,健行國小,467,21,132,1
71,北區,篤行國小,617,27,90,1
72,北區,賴厝國小,1968,73,73,1
73,北區,育仁國小,1046,26,90,1
74,北區,省三國小,722,31,150,1
75,外埔區,外埔國小,798,31,137,1
76,外埔區,馬鳴國小,55,6,50,1
77,外埔區,水美國小,72,7,40,1
78,外埔區,鐵山國小,62,6,60,1
79,石岡區,石岡國小,315,16,108,1
80,石岡區,土牛國小,248,12,24,1
81,后里區,月眉國小,256,13,50,0
82,后里區,育英國小,203,11,102,1
83,后里區,泰安國小,136,7,60,1
84,后里區,七星國小,228,12,80,1
85,后里區,后里國小,632,26,120,1
86,西屯區,大仁國小,444,20,130,1
87,西屯區,東海國小,285,14,60,1
88,西屯區,泰安國小,189,12,68,1
89,西屯區,惠來國小,858,34,106,1
90,西屯區,大同國小,1161,46,46,0
91,西屯區,上石國小,857,33,86,1
92,西屯區,上安國小,750,33,160,1
93,西屯區,大鵬國小,643,28,147,0
94,西屯區,永安國小,1748,72,168,1
95,西屯區,何厝國小,327,18,60,1
96,西屯區,協和國小,1013,43,198,0
97,西屯區,長安國小,910,35,124,1
98,西屯區,重慶國小,365,18,162,1
99,西屯國,西屯國小,998,44,64,1
100,西區,忠明國小,619,27,60,0
101,西區,大勇國小,1993,76,200,1
102,西區,忠孝國小,1942,71,250,0
103,西區,忠信國小,322,13,92,1
