1,1749
2,1139
3,1476
4,571
5,1709
6,975
7,1014
8,1373
9,1840
10,1227
11,639
12,1425
13,1259
14,698
15,1475
16,956
17,373
18,491
19,1647
20,1697
21,154
22,1397
23,246
24,497
25,877
26,114
27,1697
28,700
29,1735
30,1372
31,1743
32,225
33,847
34,575
35,530
36,1420
37,1688
38,1171
39,1395
40,1174
41,505
42,1444
43,1324
44,1544
45,424
46,966
47,1755
48,1427
49,1410
50,1810
51,474
52,151
53,1334
54,1295
55,51
56,777
57,499
58,66
59,1734
60,875
61,490
62,158
63,815
64,1172
65,1459
66,1738
67,1528
68,1408
69,107
70,533
71,848
72,1102
73,837
74,1661
75,1213
76,587
77,816
78,1779
79,1392
80,1765
81,1630
82,1798
83,349
84,903
85,1190
86,249
87,177
88,814
89,1187
90,382
91,1363
92,1435
93,86
94,1228
95,97
96,1281
97,1626
98,1049
99,134
100,1578
