==============================================
學校名稱
系科名稱
最高總成績
最低總成績
==============================================

大仁科技大學,應用外語系日文組,406,304
大仁科技大學,觀光事業系,287,285
大仁科技大學,數位多媒體設計系,330,256
大仁科技大學,寵物美容學位學程,330,248
大仁科技大學,資訊應用與管理系,246,246
大仁科技大學,護理系,430,228
大仁科技大學,幼兒保育系,274,223
大仁科技大學,休閒運動管理系,200,200
大仁科技大學,社會工作系,260,198
大仁科技大學,應用外語系英文組,446,194
大仁科技大學,行銷與流通管理系,296,187
大同技術學院,商業經營與設計系,378,378
大同技術學院,茶文化與事業經營學士學位學程,241,241
大華科技大學,觀光管理系,292,292
大華科技大學,資訊管理系,271,271
大華科技大學,運動與健康促進系,350,256
大華科技大學,觀光管理系餐飲與烘焙組,239,239
大華科技大學,工業工程與管理系,324,205
大漢技術學院,休閒運動管理系,337.5,337.5
大漢技術學院,觀光事業管理系,260.5,256
大漢技術學院,流通與行銷管理系,263.5,195
中州科技大學,餐旅事業管理系,304,304
中州科技大學,觀光與休閒管理系,506,226
中州科技大學,資訊管理系,316,170
中州科技大學,行銷與流通管理系,319,168
中國科技大學,行銷與流通管理系（台北校區）,526,394
中國科技大學,應用英語系（台北校區）,473,351
中國科技大學,觀光與休閒事業管理系（台北校區）,488,348
中國科技大學,企業管理系（台北校區）,447,346
中國科技大學,國際商務系（台北校區）,540,343
中國科技大學,資訊管理系（台北校區）,431.5,338
中國科技大學,財務金融系（台北校區）,502,332
中國科技大學,財政稅務系（台北校區）,514,298
中國科技大學,會計系（台北校區）,512,288
中國科技大學,企業管理系（新竹校區）,471,245.5
中國科技大學,資訊管理系（新竹校區）,399,198
中國科技大學,行銷與流通管理系（新竹校區）,398,194
中國科技大學,觀光與休閒事業管理系（新竹校區）,346,176
中華科技大學,建築系建築科技組（台北校區）,432,284.5
中華科技大學,航空服務管理系（新竹校區）,548,270
中華科技大學,工業工程與管理系產品創新設計組（台北校區）,284,258
中華科技大學,財務金融系服務行銷組（台北校區）,383,252
中華科技大學,食品科學系加工與醱酵烘焙組（台北校區）,326,248
中華科技大學,觀光餐旅系（新竹校區）,361,243
中華科技大學,餐飲管理系（台北校區）,464.5,238
中華科技大學,企業管理系（台北校區）,310,231.5
中華科技大學,財務金融系財富管理組（台北校區）,355,226
中華科技大學,資訊管理系電子商務組（台北校區）,278,216
中華科技大學,遊戲系統創新設計學位學程（台北校區）,333,208
中華科技大學,企業管理系微型創業管理組（台北校區）,261,206
中華科技大學,企業管理系流通運籌管理組（台北校區）,244,186
中華科技大學,文創與數位多媒體學位學程（台北校區）,447,184
中華科技大學,資訊管理系（台北校區）,321.5,182
中華科技大學,國際商務與行銷系（台北校區）,391,174
中華醫事科技大學,寵物美容學士學位學程,497,388
中華醫事科技大學,長期照顧系,301,284
中華醫事科技大學,幼兒保育系,274,261.5
中華醫事科技大學,化妝品應用與管理系,283,226
中華醫事科技大學,醫務暨健康事業管理系,507.5,216
中華醫事科技大學,資訊管理系,312,208
中華醫事科技大學,職業安全衛生系,268,208
中華醫事科技大學,運動健康與休閒系,284,203
中臺科技大學,行銷管理系,525,399
中臺科技大學,視光系,538,397
中臺科技大學,醫療暨健康產業管理系,530,392
中臺科技大學,應用外語系,431.5,378
中臺科技大學,國際企業系,512,375
中臺科技大學,資訊管理系,519.5,369.5
元培醫事科技大學（原元培科技大學）,觀光與休閒管理系,566,313
元培醫事科技大學（原元培科技大學）,餐飲管理系,452,269
元培醫事科技大學（原元培科技大學）,健康休閒管理系,350,242
元培醫事科技大學（原元培科技大學）,醫務管理系,446,204
元培醫事科技大學（原元培科技大學）,視光系,458,204
元培醫事科技大學（原元培科技大學）,應用英語系,358,190
元培醫事科技大學（原元培科技大學）,企業管理系,491,178
元培醫事科技大學（原元培科技大學）,資訊管理系,429,151.5
文藻外語大學,國際事務系,572,547
文藻外語大學,國際企業管理系,570,546
文藻外語大學,數位內容應用與管理系,537,526
文藻外語大學,英國語文系,574,522
文藻外語大學,西班牙語文系,584,515.5
文藻外語大學,外語教學系,564,510
文藻外語大學,德國語文系,572,507
文藻外語大學,法國語文系,562,505.5
文藻外語大學,應用華語文系,552,488
台北海洋技術學院,視覺傳達設計系（淡水校本部）,504,227
台北海洋技術學院,海空物流與行銷系（淡水校本部）,541,226
台北海洋技術學院,健康照顧社會工作系（淡水校本部）,480,216
台北海洋技術學院,旅遊管理系（淡水校本部）,519,186
台北海洋技術學院,數位遊戲與動畫設計系（淡水校本部）,544,170
台北海洋技術學院,海洋休閒觀光系（士林校區）,455,167
台北海洋技術學院,餐飲管理系（士林校區）,447,134
台南應用科技大學,視覺傳達設計系,501,449
台南應用科技大學,多媒體動畫系,480,433
台南應用科技大學,室內設計系,564,430
台南應用科技大學,餐飲系,498,421
台南應用科技大學,會計資訊系,570,415
台南應用科技大學,服飾設計管理系,528,408
台南應用科技大學,企業管理系,547.5,404
台南應用科技大學,運動休閒與健康管理系,472.5,399.5
台南應用科技大學,旅館管理系,502,398
台南應用科技大學,商品設計系,421,398
台南應用科技大學,財務金融系,551.5,383
台南應用科技大學,應用英語系,466,382
台南應用科技大學,幼兒保育系,412,368
台南應用科技大學,國際企業經營系,515,352
台南應用科技大學,資訊管理系,427,350
台南應用科技大學,時尚設計系,370,335
弘光科技大學,應用英語系,540,486
弘光科技大學,運動休閒系,529,482
弘光科技大學,資訊管理系,530,444
弘光科技大學,健康事業管理系,522,434
弘光科技大學,文化創意產業系,530,433
弘光科技大學,老人福利與事業系,472,418
正修科技大學,企業管理系經營管理組,519,519
正修科技大學,企業管理系行銷管理組,533,509
正修科技大學,國際企業系國際貿易組,493,478
正修科技大學,企業管理系流通管理組,562,469
正修科技大學,金融管理系財富管理組,566,456
正修科技大學,國際企業系國際行銷組,488,442
正修科技大學,觀光遊憩系觀光管理組,458,424
正修科技大學,國際企業系國際經營組,464,418
正修科技大學,工業工程與管理系工業工程組,498,416
正修科技大學,資訊管理系資訊應用組,464,413
正修科技大學,金融管理系金融行銷組,516,408
正修科技大學,資訊管理系管理應用組,452,401
正修科技大學,餐飲管理系,448,390
正修科技大學,觀光遊憩系旅館管理組,431,390
正修科技大學,數位多媒體設計系,498,346
正修科技大學,應用外語系觀光英語組,502,341.5
正修科技大學,應用外語系商務英語組,462,338
正修科技大學,時尚生活創意設計系設計行銷組,448,336
